시도교육청코드,행정표준코드,학교명,도로명주소,홈페이지주소
B10,7010063,고척고등학교,서울특별시 구로구 중앙로15길 162,http://gocheok.sen.hs.kr
B10,7041168,고척중학교,서울특별시 구로구 중앙로3길 20,http://gocheok.sen.ms.kr
B10,7051174,공릉중학교,서울특별시 노원구 노원로1길 42,http://kongrung.sen.ms.kr
B10,7010064,공항고등학교,서울특별시 강서구 방화대로34길 43,http://konghang.sen.hs.kr
B10,7081487,공항중학교,서울특별시 강서구 방화대로 241,http://gonghang.sen.ms.kr
B10,7010065,관악고등학교,서울특별시 영등포구 영등포로6길 26,http://kwan-ak.sen.hs.kr
B10,7132125,관악중학교,서울특별시 관악구 남부순환로237길 60,http://gwanak.sen.ms.kr
B10,7010066,광남고등학교,서울특별시 광진구 아차산로70길 17-16,http://gwang-nam.sen.hs.kr
B10,7134122,광남중학교,서울특별시 광진구 아차산로70길 17-62,http://gwangnam.sen.ms.kr
B10,7010131,광문고등학교,서울특별시 강동구 동남로 968,http://gwangmun.sen.hs.kr
B10,7010132,광성고등학교,서울특별시 마포구 신수로8길 20,http://kwangsung.sen.hs.kr
B10,7031180,광성중학교,서울 마포구 신수로8길 20,http://kwangsung.sen.ms.kr
B10,7010523,광성하늘빛학교,서울특별시 송파구 올림픽로 625,http://hanulbit.sen.sc.kr/
B10,7010133,광신고등학교,서울특별시 관악구 광신길 141,http://kwangshin.sen.hs.kr
B10,7011488,광신방송예술고등학교,서울특별시 관악구 광신길 141,http://ksmedia.sen.hs.kr
B10,7132126,광신중학교,서울특별시 관악구 광신길 141,http://kwangshin.sen.ms.kr
B10,7010067,광양고등학교,서울특별시 광진구 자양로3가길 31,http://gwangyang.sen.hs.kr
B10,7134123,광양중학교,서울특별시 광진구 자양로3길 7,http://kwangyang.sen.ms.kr
B10,7010134,광영고등학교,서울특별시 양천구 남부순환로30길 17,http://ky.sen.hs.kr
B10,7010135,광영여자고등학교,서울특별시 양천구 남부순환로30길 17,http://kyg.sen.hs.kr
B10,7011505,광운인공지능고등학교,서울특별시 노원구 광운로1길 24,http://kwangwoon.sen.hs.kr
B10,7051175,광운중학교,서울특별시 노원구 광운로1길 24,http://kwangwoon.sen.ms.kr
B10,7121335,광운초등학교,서울특별시 성북구 한천로 694,http://kwangwoon.sen.es.kr
B10,7134124,광장중학교,서울특별시 광진구 광장로1길 1,http://gwangjang.sen.ms.kr
